left_ratio_x,left_ratio_y,right_ratio_x,right_ratio_y,left_width,left_height,right_width,right_height,pitch,screen_x,screen_y
-0.5271461362202634,0.45367375234809276,0.5736335630245866,0.4642646113337892,75.39782880376345,27.910587725212114,77.26963364472918,28.233802740471834,-117.06117153167725,268,20
-0.5272938720901515,0.48165732091080027,0.5842696725845099,0.45824972576173806,74.81914261331298,29.60311850589141,77.48892582601141,28.072903103231596,-118.395334482193,268,20
-0.5228659884486518,0.4578134081455743,0.5755555163344565,0.4782692672457777,74.93445775185818,27.520416141899144,76.33675907662261,28.65725472419416,-117.97137379646301,268,20
-0.5321112531000269,0.47120973708493186,0.5803697087474992,0.4685020383462388,75.20615902205655,28.957559299770875,76.40513090780502,28.0601925381532,-117.90368556976318,330,20
-0.5243680344368623,0.45060650276083825,0.5784635291687339,0.47505836290251247,75.6728866065851,27.629497057451296,76.36094192830507,27.8658910347869,-118.7958312034607,330,20
-0.5323195517196658,0.47138490226999036,0.576831300240634,0.45071498829467227,74.77728774734747,28.614544696943007,75.64118335852382,27.179306120150674,-119.55742835998535,330,20
-0.5264277338896223,0.4590692289218521,0.5794687015983354,0.45740749338256126,74.85463471679465,27.890697002396195,75.91091432733337,27.973656473630946,-120.01898288726807,330,20
-0.5263824689614844,0.4739245687150437,0.5747324246405994,0.450959625264601,74.30645823089014,28.408299451748107,75.64163707004425,27.697149953284338,-119.43119287490845,330,20
-0.5178344182132295,0.4513798297537699,0.5798935476160557,0.4711497356831794,75.25614579195023,27.90232888937861,76.96854080227789,27.954491610058447,-118.78466248512268,330,20
-0.5185049695532814,0.4557719860859444,0.580152924747292,0.45484371291390796,74.56113005164251,27.944097711389226,75.93007641457856,28.00056164268617,-118.62504959106445,330,20
-0.5150124755514285,0.4621909727653162,0.5773084402440168,0.43299041101381114,74.31079882750097,27.434137123282078,76.33155118303247,28.435737189418038,-119.30379867553711,330,20
-0.5223456358926282,0.4740056950859986,0.5759574005896366,0.44505787426046634,74.38513680796011,29.257184410859008,75.24172622553178,26.31306257579673,-119.75988149642944,330,20
-0.5234332710417233,0.44924200227554023,0.5722205861014356,0.4588169383635479,75.3541390020113,27.534803100673848,76.06067368686371,27.599122296717756,-117.99763798713684,330,20
-0.5284039749901314,0.4643183120854076,0.5714231975960972,0.44715601396417437,75.63916005298884,29.7946720304664,75.70037506421565,26.868444745691658,-118.25754404067993,330,20
-0.524484099633834,0.5002317456415855,0.5803991096191992,0.4377879648955941,75.43314319636302,28.975863515125255,76.92910131870181,28.21183090387036,-119.45256471633911,330,20
-0.5176808208421529,0.4722541185430982,0.5742957387899543,0.44894816114740477,74.90222250784295,27.476712775482376,76.86509285459128,26.734304207100575,-122.37664461135864,330,20
-0.5139952491015974,0.515318534646063,0.5651472342594255,0.47850316652388514,75.83962861408554,29.097418156987327,78.55952353179194,28.782956016270457,-119.10871624946594,330,20
-0.5093341848861268,0.469633501785614,0.5691688847211971,0.4069844210450246,74.94804074793966,27.157690644697375,77.06686121770106,25.608787578657026,-120.31142950057983,330,20
-0.5081081777457316,0.492357453623611,0.5705941249645086,0.42629982527596516,75.50884388831241,27.786011758567145,76.25842868933618,26.66158379666577,-114.54563498497009,393,20
-0.5084080124325937,0.5182658631485726,0.5519908268493088,0.4541866402257114,77.13362881870964,29.067206954236728,77.72719970330769,28.032070094286077,-114.78074133396149,393,20
-0.5046437656768727,0.5124972792892073,0.5637243745499299,0.4600851647060636,75.26343659296934,28.223352697630702,77.84183549254857,27.059155593338488,-114.30637657642365,393,20
-0.5063050970524718,0.5034877977071052,0.5551491470986021,0.4813993483116666,76.36045930284997,28.303462000446512,77.38704042298414,27.640318321530533,-115.49600601196289,393,20
-0.5065527744090805,0.4570477494755506,0.5581298178253385,0.48811326204224165,75.16301867845169,26.230953754076854,79.60057081434323,27.690525165088772,-113.1982272863388,393,20
-0.5156885464632678,0.4655835999429119,0.5536656691861976,0.5009915200716821,76.64516172509637,27.482757172843332,79.12477237090975,28.19084724983214,-112.25686848163605,393,20
-0.522030326539035,0.462161223647537,0.5544680903551753,0.5017989640692175,75.11732914967706,25.831874802026938,79.6232647798222,27.681288027124427,-110.98442316055298,393,20
-0.5078860213457922,0.4773334122535906,0.5499117275585735,0.4995804705736184,73.74578338541774,25.30304161411744,79.40332170022262,28.053932023645967,-109.38233971595764,393,20
-0.4985118452525535,0.45790259534767963,0.5562044299132085,0.5252425072664886,73.7023321423573,23.46361356817592,78.07701335183543,26.03954764547789,-108.8636863231659,393,20
-0.5098303860448516,0.42889103336658513,0.5468802243452466,0.5013500673415636,74.36645041339575,23.698590676879967,78.37404202245145,25.486177042046855,-107.6054835319519,393,20
-0.5107289820975074,0.4917238404826135,0.5367122763246229,0.5390237231743551,75.04921874371632,24.50821253743759,78.79717721965476,27.222675951475722,-106.43722593784332,393,20
-0.5058454576770391,0.4950971551005368,0.5392100183870959,0.5322421992412588,77.32913642609171,23.17727951296981,79.24207162228595,25.98609549505615,-105.81456184387207,393,20
-0.49397286056090445,0.4698258249386433,0.5562353212047167,0.5175215916003008,77.30005199933301,22.738127598615353,77.31739868240433,23.704949548799053,-104.49251711368561,393,20
-0.4976012090378777,0.49019770454188144,0.5609469935567064,0.49489517440784575,75.64282513592246,23.054564434899852,77.85165942325406,23.948192264712784,-103.97640645503998,393,20
-0.502648823030542,0.47775926622073545,0.5671585228548929,0.530760052198743,74.95857835567647,23.315514941506663,77.62756968674165,22.657841688539246,-104.58920538425446,393,20
-0.48718771766977564,0.4815829008269915,0.574293773427284,0.48878759885566253,73.0239316787899,21.785144894836577,77.38525768413811,22.777273466153076,-102.26739943027496,455,20
